State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Kansas,20,9,1681,13.10291493158834,10.881023200475907
Kansas,20,10,1512,14.567460317460318,12.097222222222221
Kansas,20,11,1388,15.868876080691642,13.177953890489913
Kansas,20,12,1466,15.02455661664393,12.47680763983629
Kansas,20,13,1824,12.075657894736842,10.02796052631579
Kansas,20,14,1946,11.318602261048305,9.399280575539569
Kansas,20,15,1701,12.948853615520282,10.753086419753087
Kansas,20,16,1608,13.697761194029852,11.375
Kansas,20,17,1435,15.349128919860627,12.746341463414634
Kansas,20,18,1049,20.997140133460437,17.436606291706386
Kansas,20,19,1267,17.384372533543804,14.43646408839779
Kansas,20,20,1255,17.550597609561752,14.574501992031873
Kansas,20,21,1176,18.729591836734695,15.553571428571429
Kansas,20,22,1164,18.922680412371133,15.713917525773196
Kansas,20,23,1350,16.315555555555555,13.54888888888889
Kansas,20,24,1274,17.28885400313972,14.357142857142858
Kansas,20,25,1348,16.339762611275965,13.568991097922849
Kansas,20,26,1386,15.891774891774892,13.196969696969697
Kansas,20,27,1403,15.699215965787598,13.037063435495368
Kansas,20,28,774,28.45736434108527,23.631782945736433
Kansas,20,29,1403,15.699215965787598,13.037063435495368
Kansas,20,30,1019,21.6153091265947,17.949950932286555
Kansas,20,31,1202,18.324459234608984,15.217138103161398
Kansas,20,32,1204,18.294019933554818,15.19186046511628
Kansas,20,33,1187,18.55602358887953,15.409435551811288
Kansas,20,34,1231,17.892770105605198,14.858651502843218
Kansas,20,35,1270,17.343307086614175,14.40236220472441
Kansas,20,36,1315,16.74980988593156,13.909505703422052
Kansas,20,37,1146,19.219895287958114,15.960732984293193
Kansas,20,38,1116,19.736559139784948,16.38978494623656
Kansas,20,39,1071,20.565826330532214,17.07843137254902
Kentucky,21,1,1145,16.936244541484715,14.28646288209607
Kentucky,21,2,613,31.63458401305057,26.68515497553018
Kentucky,21,3,1870,10.370053475935828,8.747593582887701
Kentucky,21,4,1592,12.180904522613066,10.275125628140703
Kentucky,21,5,1665,11.646846846846847,9.824624624624624
Kentucky,21,6,1353,14.332594235033259,12.090169992609017
Kentucky,21,7,1221,15.882063882063882,13.397215397215398
Kentucky,21,8,1526,12.70773263433814,10.719528178243774
Kentucky,21,9,1558,12.446726572528883,10.499358151476251
Kentucky,21,10,1427,13.589348283111423,11.463209530483532
Kentucky,21,11,1424,13.617977528089888,11.487359550561798
Kentucky,21,12,1428,13.579831932773109,11.455182072829132
Kentucky,21,13,1472,13.173913043478262,11.112771739130435
Kentucky,21,14,1461,13.273100616016427,11.196440793976729
Kentucky,21,15,1341,14.460850111856823,12.198359433258762
Kentucky,21,16,1296,14.962962962962964,12.621913580246913
Kentucky,21,17,1231,15.753046303818033,13.28838342810723
Kentucky,21,18,797,24.33124215809285,20.524466750313675
Kentucky,21,19,922,21.032537960954446,17.74186550976139
Kentucky,21,20,913,21.23986856516977,17.916757940854325
Kentucky,21,21,888,21.83783783783784,18.42117117117117
Kentucky,21,22,891,21.764309764309765,18.35914702581369
Kentucky,21,23,1041,18.628242074927954,15.713736791546589
Kentucky,21,24,972,19.950617283950617,16.829218106995885
Kentucky,21,25,982,19.74745417515275,16.65784114052953
Kentucky,21,26,961,20.1789802289282,17.021852237252862
Kentucky,21,27,932,20.8068669527897,17.551502145922747
Kentucky,21,28,558,34.75268817204301,29.315412186379927
Kentucky,21,29,952,20.369747899159663,17.182773109243698
Kentucky,21,30,709,27.35119887165021,23.071932299012694
Kentucky,21,31,839,23.113230035756853,19.497020262216925
Kentucky,21,32,884,21.936651583710407,18.504524886877828
Kentucky,21,33,831,23.335740072202167,19.684717208182914
Kentucky,21,34,870,22.28965517241379,18.80229885057471
Kentucky,21,35,915,21.19344262295082,17.8775956284153
Kentucky,21,36,938,20.673773987206822,17.439232409381663
Kentucky,21,37,849,22.840989399293285,19.267373380447584
Kentucky,21,38,791,24.51580278128951,20.68015170670038
Kentucky,21,39,719,26.970792767732963,22.751043115438108
Louisiana,22,1,875,22.03542857142857,18.864
Louisiana,22,2,510,37.805882352941175,32.36470588235294
Louisiana,22,3,1774,10.868658399098084,9.304396843291995
Louisiana,22,4,1528,12.618455497382199,10.802356020942408
Louisiana,22,5,1825,10.564931506849316,9.044383561643835
Louisiana,22,6,1361,14.166789125642909,12.127847171197649
Louisiana,22,7,1183,16.29839391377853,13.95266272189349
Louisiana,22,8,1568,12.29655612244898,10.526785714285714
Louisiana,22,9,1630,11.82883435582822,10.12638036809816
Louisiana,22,10,1535,12.560912052117263,10.753094462540716
Louisiana,22,11,1488,12.95766129032258,11.09274193548387
Louisiana,22,12,1546,12.471539456662354,10.676584734799482
Louisiana,22,13,1461,13.19712525667351,11.297741273100616
Louisiana,22,14,1495,12.896989966555184,11.040802675585285
Louisiana,22,15,1307,14.752104055087988,12.628921193573069
Louisiana,22,16,1304,14.786042944785276,12.6579754601227
Louisiana,22,17,1174,16.42333901192504,14.05962521294719
Louisiana,22,18,692,27.862716763005782,23.852601156069365
Louisiana,22,19,832,23.174278846153847,19.838942307692307
Louisiana,22,20,863,22.341830822711472,19.12630359212051
Louisiana,22,21,799,24.131414267834792,20.658322903629536
Louisiana,22,22,821,23.484774665042632,20.104750304506698
Louisiana,22,23,966,19.959627329192546,17.08695652173913
Louisiana,22,24,924,20.866883116883116,17.863636363636363
Louisiana,22,25,914,21.095185995623634,18.059080962800877
Louisiana,22,26,872,22.111238532110093,18.928899082568808
Louisiana,22,27,865,22.290173410404623,19.082080924855493
Louisiana,22,28,652,29.572085889570552,25.3159509202454
Louisiana,22,29,917,21.02617230098146,18
Louisiana,22,30,664,29.037650602409638,24.85843373493976
Louisiana,22,31,837,23.03584229390681,19.72043010752688
Louisiana,22,32,766,25.171018276762403,21.548302872062663
Louisiana,22,33,849,22.710247349823323,19.441696113074205
Louisiana,22,34,902,21.375831485587582,18.299334811529935
Louisiana,22,35,969,19.897832817337463,17.03405572755418
Louisiana,22,36,895,21.543016759776535,18.44245810055866
Louisiana,22,37,714,27.00420168067227,23.11764705882353
Louisiana,22,38,735,26.23265306122449,22.457142857142856
Louisiana,22,39,668,28.86377245508982,24.709580838323355
Maine,23,1,1146,12.417102966841187,9.924083769633508
Maine,23,2,608,23.404605263157894,18.705592105263158
Maine,23,3,1547,9.198448610213315,7.351648351648351
Maine,23,4,1361,10.455547391623806,8.35635562086701
Maine,23,5,1469,9.686861810755616,7.742001361470388
Maine,23,6,1144,12.438811188811188,9.941433566433567
Maine,23,7,1051,13.539486203615605,10.821122740247384
Maine,23,8,1223,11.635322976287817,9.29926410466067
Maine,23,9,1278,11.134585289514867,8.89906103286385
Maine,23,10,1328,10.715361445783133,8.564006024096386
Maine,23,11,1119,12.716711349419125,10.163538873994638
Maine,23,12,1042,13.656429942418425,10.914587332053744
Maine,23,13,987,14.41742654508612,11.522796352583587
Maine,23,14,949,14.99473129610116,11.984193888303478
Maine,23,15,869,16.375143843498275,13.087456846950518
Maine,23,16,894,15.917225950782997,12.721476510067115
Maine,23,17,774,18.385012919896642,14.693798449612403
Maine,23,18,550,25.87272727272727,20.67818181818182
Maine,23,19,680,20.926470588235293,16.725
Maine,23,20,639,22.269170579029733,17.7981220657277
Maine,23,21,660,21.560606060606062,17.23181818181818
Maine,23,22,585,24.324786324786324,19.44102564102564
Maine,23,23,723,19.681881051175658,15.730290456431534
Maine,23,24,662,21.49546827794562,17.1797583081571
Maine,23,25,682,20.865102639296186,16.675953079178885
Maine,23,26,705,20.18439716312057,16.131914893617022
Maine,23,27,677,21.0192023633678,16.79911373707533
Maine,23,28,641,22.1996879875195,17.742589703588145
Maine,23,29,810,17.567901234567902,14.040740740740741
Maine,23,30,543,26.206261510128915,20.944751381215468
Maine,23,31,678,20.9882005899705,16.77433628318584
Maine,23,32,629,22.623211446740857,18.08108108108108
Maine,23,33,685,20.773722627737225,16.602919708029198
Maine,23,34,594,23.956228956228955,19.146464646464647
Maine,23,35,566,25.141342756183747,20.093639575971732
Maine,23,36,606,23.48184818481848,18.76732673267327
Maine,23,37,588,24.200680272108844,19.341836734693878
Maine,23,38,540,26.35185185185185,21.06111111111111
Maine,23,39,508,28.011811023622048,22.387795275590552
Maryland,24,1,1647,18.587128111718275,15.198542805100182
Maryland,24,2,841,36.40071343638525,29.764565992865638
Maryland,24,3,2690,11.380297397769517,9.305576208178438
Maryland,24,4,2029,15.087727944800394,12.337111877772301
Maryland,24,5,2049,14.940458760370912,12.216691068814056
Maryland,24,6,1608,19.037935323383085,15.567164179104477
Maryland,24,7,1497,20.449565798263194,16.721442885771545
Maryland,24,8,2268,13.49779541446208,11.037037037037036
Maryland,24,9,1890,16.197354497354496,13.244444444444444
Maryland,24,10,1760,17.39375,14.222727272727273
Maryland,24,11,1839,16.646547036432843,13.611745513866232
Maryland,24,12,1794,17.064102564102566,13.953177257525084
Maryland,24,13,2540,12.05236220472441,9.855118110236221
Maryland,24,14,2619,11.68881252386407,9.557846506300114
Maryland,24,15,2282,13.41498685363716,10.969325153374234
Maryland,24,16,2242,13.654326494201605,11.165031222123105
Maryland,24,17,2091,14.640363462458154,11.971305595408895
Maryland,24,18,1389,22.03959683225342,18.021598272138228
Maryland,24,19,1751,17.48315248429469,14.295830953740719
Maryland,24,20,1772,17.275959367945823,14.126410835214447
Maryland,24,21,1664,18.397235576923077,15.04326923076923
Maryland,24,22,1553,19.71216999356085,16.1184803605924
Maryland,24,23,2076,14.746146435452793,12.057803468208093
Maryland,24,24,1813,16.88527302813017,13.806949806949808
Maryland,24,25,1866,16.405680600214364,13.414790996784566
Maryland,24,26,1841,16.628462791960892,13.596958174904943
Maryland,24,27,1903,16.08670520231214,13.153967419863374
Maryland,24,28,1781,17.188658057271194,14.0550252667041
Maryland,24,29,1903,16.08670520231214,13.153967419863374
Maryland,24,30,1495,20.476923076923075,16.7438127090301
Maryland,24,31,1849,16.556517036235803,13.538128718226067
Maryland,24,32,1661,18.43046357615894,15.070439494280555
Maryland,24,33,1682,18.200356718192626,14.882282996432819
Maryland,24,34,1554,19.6994851994852,16.10810810810811
Maryland,24,35,1579,19.387587080430652,15.85307156428119
Maryland,24,36,1605,19.073520249221183,15.596261682242991
Maryland,24,37,1425,21.48280701754386,17.566315789473684
